Stage,Date,Year,Month,Day,Distance,Origin,Destination,Type,Winner,Winner_Country
20,2010-07-25,2010,7,25,102.5,Longjumeau,Paris,Flat stage,Mark Cavendish,GBR
1,2009-07-04,2009,7,4,15.5,Monaco,Monaco,Individual time trial,Fabian Cancellara,SUI
2,2009-07-05,2009,7,5,187.0,Monaco,Brignoles,Flat stage,Mark Cavendish,GBR
3,2009-07-06,2009,7,6,196.5,Marseille,La Grande-Motte,Flat stage,Mark Cavendish,GBR
4,2009-07-07,2009,7,7,39.0,Montpellier,Montpellier,Team time trial,Astana,
5,2009-07-08,2009,7,8,196.5,Cap d'Agde,Perpignan,Flat stage,Thomas Voeckler,FRA
6,2009-07-09,2009,7,9,181.5,Girona,Barcelona,Flat stage,Thor Hushovd,NOR
7,2009-07-10,2009,7,10,224.0,Barcelona,Andorra-Arcalis,Mountain stage,Brice Feillu,FRA
8,2009-07-11,2009,7,11,176.5,Andorra la Vella,Saint-Girons,Mountain stage,Luis León Sánchez,ESP
9,2009-07-12,2009,7,12,160.5,Saint-Gaudens,Tarbes,Mountain stage,Pierrick Fédrigo,FRA
10,2009-07-14,2009,7,14,194.5,Limoges,Issoudun,Flat stage,Mark Cavendish,GBR
11,2009-07-15,2009,7,15,192.0,Vatan,Saint-Fargeau,Flat stage,Mark Cavendish,GBR
12,2009-07-16,2009,7,16,211.5,Tonnerre,Vittel,Flat stage,Nicki Sørensen,DEN
13,2009-07-17,2009,7,17,200.0,Vittel,Colmar,Medium mountain stage,Heinrich Haussler,GER
14,2009-07-18,2009,7,18,199.0,Colmar,Besançon,Flat stage,Sergei Ivanov,RUS
15,2009-07-19,2009,7,19,207.5,Pontarlier,Verbier,Mountain Stage,Alberto Contador,ESP
16,2009-07-21,2009,7,21,159.0,Martigny,Bourg-Saint-Maurice,Mountain Stage,Sandy Casar,FRA
17,2009-07-22,2009,7,22,169.5,Bourg-Saint-Maurice,Le Grand-Bornand,Mountain Stage,Fränk Schleck,LUX
18,2009-07-23,2009,7,23,40.5,Annecy,Annecy,Individual time trial,Alberto Contador,ESP
19,2009-07-24,2009,7,24,178.0,Bourgoin-Jallieu,Aubenas,Flat stage,Mark Cavendish,GBR
20,2009-07-25,2009,7,25,167.0,Montélimar,Mont Ventoux,Mountain stage,Juan Manuel Gárate,ESP
21,2009-07-26,2009,7,26,164.0,Montereau-Fault-Yonne,Paris,Flat stage,Mark Cavendish,GBR
