,name,sex,age,height,weight,team,noc,city,sport,event,Bronze,Gold,Silver
6444,Ana Paula Rodrigues-Belo,F,24.0,172.0,67.0,Brazil,BRA,London,Handball,Handball Women's Handball,0,0,0
6451,Phara Anacharsis,F,28.0,177.0,58.0,France,FRA,London,Athletics,Athletics Women's 4 x 400 metres Relay,0,0,0
6461,Takamasa Anai,M,27.0,187.0,100.0,Japan,JPN,London,Judo,Judo Men's Half-Heavyweight,0,0,0
6473,Anis Viktorovich Ananenko,M,26.0,176.0,65.0,Belarus,BLR,London,Athletics,Athletics Men's 800 metres,0,0,0
6525,Anton Pavlovich Anchin,M,22.0,187.0,68.0,Russia,RUS,London,Swimming,Swimming Men's 200 metres Backstroke,0,0,0
6631,David Emil Andersen,M,32.0,211.0,102.0,Australia,AUS,London,Basketball,Basketball Men's Basketball,0,0,0
6742,Stine Myrhj Andersen,F,27.0,169.0,75.0,Denmark,DEN,London,Shooting,"Shooting Women's Air Rifle, 10 metres",0,0,0
6763,Alyssa Jean Anderson,F,21.0,173.0,64.0,United States,USA,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,0,1,0
6807,Haley Danita Anderson,F,20.0,178.0,68.0,United States,USA,London,Swimming,Swimming Women's 10 kilometres Open Water,0,0,1
6820,Jenny-Lyn Anderson,F,19.0,162.0,,Australia,AUS,London,Synchronized Swimming,Synchronized Swimming Women's Team,0,0,0
6852,"Matthew John ""Matt"" Anderson",M,25.0,202.0,100.0,United States,USA,London,Volleyball,Volleyball Men's Volleyball,0,0,0
6865,Rose Anderson,F,24.0,178.0,75.0,Great Britain,GBR,London,Basketball,Basketball Women's Basketball,0,0,0
7003,Isabellah Moraa Andersson (Amoro-),F,31.0,170.0,55.0,Sweden,SWE,London,Athletics,Athletics Women's Marathon,0,0,0
7020,Kim Verner Andersson,M,29.0,200.0,105.0,Sweden,SWE,London,Handball,Handball Men's Handball,0,0,1
7077,Erik Mattias Andersson,M,34.0,186.0,95.0,Sweden,SWE,London,Handball,Handball Men's Handball,0,0,1
7165,Elizabeth Adhiambo Andiego,F,25.0,172.0,,Kenya,KEN,London,Boxing,Boxing Women's Middleweight,0,0,0
7186,Kozue Ando,F,30.0,164.0,57.0,Japan,JPN,London,Football,Football Women's Football,0,0,1
